Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
4.45529e-004	2244.53	1	0	1	12	10	1	5	2.8125	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.530415	1.8869	2	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.566767	27.5089	3	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.583904	58.3538	4	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.600894	58.8555	5	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.617904	58.7908	6	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.633892	62.5457	7	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.650911	58.7595	8	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.667906	58.8409	9	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.684893	58.867	10	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.701897	58.8106	11	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
0.718898	58.8179	12	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
