Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
7.92487e-005	12618.5	1	0	1	3	3	1	2	2.8125	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.789923	1.26607	2	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.914696	8.01455	3	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.932935	54.8282	4	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.951037	55.2409	5	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.973409	44.6984	6	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
0.993872	48.8695	7	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.01145	56.8962	8	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.02933	55.9063	9	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.04738	55.4208	10	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.06548	55.2449	11	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.08242	59.0176	12	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.10051	55.2871	13	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.11723	59.8177	14	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.13593	53.4733	15	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.15265	59.8097	16	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.16967	58.7598	17	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.18722	56.9698	18	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.20389	60.003	19	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.22366	50.5626	20	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.2421	54.2574	21	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.26111	52.5894	22	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.27833	58.0656	23	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.29519	59.3059	24	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.31263	57.3554	25	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.33047	56.0374	26	0	1	3	3	1	2	2.81251	4.22921e-004	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0	
1.34871	54.847	27	0	-1	3	3	-1	2	2.81251	4.22921e-004	0.	-2.8125	-7.40741e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7854	0	
1.3738	39.847	28	0	-1	3	3	-1	2	2.81251	4.22921e-004	0.	-2.8125	-0.148148	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7837	0	
1.40451	32.571	29	0	-1	3	3	-1	2	2.81251	4.22921e-004	0.	-2.8125	-0.222222	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7077	0	
1.43067	38.2138	30	0	-1	3	3	-1	2	2.8125	4.22921e-004	0.	-2.8125	-0.296296	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.6502	0	
1.45788	36.7549	31	0	-1	3	3	-1	2	2.8125	4.22921e-004	0.	-2.8125	-0.444444	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7073	0	
1.48905	32.0815	32	0	-1	3	3	-1	2	2.8125	4.22921e-004	0.	-2.8125	-0.518519	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	31.4028	0	
1.51728	35.4195	33	0	-1	3	3	-1	2	2.8125	4.22921e-004	0.	-2.8125	-0.592593	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.6651	0	
1.55069	29.9379	34	0	-1	3	3	-1	2	2.8125	4.22921e-004	0.	-2.8125	-0.666667	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7023	0	
1.5756	40.1461	35	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.740741	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.6554	0	
1.60173	38.262	36	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.814815	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7471	0	
1.62658	40.2374	37	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.888889	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7389	0	
1.65193	39.4522	38	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.962963	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7555	0	
1.67702	39.8519	39	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.03704	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7545	0	
1.70303	38.4526	40	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.11111	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7606	0	
1.73046	36.4507	41	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.18519	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7557	0	
1.75506	40.6525	42	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.25926	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7463	0	
1.78147	37.864	43	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.33333	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7757	0	
1.80878	36.6243	44	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.40741	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7628	0	
1.83369	40.1461	45	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.48148	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7585	0	
1.86003	37.9542	46	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.55556	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7827	0	
1.88717	36.852	47	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.62963	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7734	0	
1.91181	40.5908	48	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.7037	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7699	0	
1.93658	40.3647	49	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.77778	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7938	0	
1.96336	37.3415	50	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.85185	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7953	0	
