Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
3.58296e-004	2790.99	1	0	1	2	2	1	1	2.8125	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.277447	3.60896	2	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.321794	22.5495	3	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.33804	61.5529	4	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.355038	58.8301	5	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.371039	62.4946	6	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.387067	62.3922	7	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.403038	62.6151	8	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.419054	62.4345	9	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.435058	62.4851	10	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.452078	58.756	11	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.469061	58.8813	12	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.485058	62.5111	13	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.502065	58.7988	14	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.520083	55.5008	15	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.537044	58.9599	16	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.553063	62.4239	17	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.570086	58.7456	18	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.587045	58.9631	19	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.604047	58.8197	20	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.620058	62.4569	21	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.637046	58.8636	22	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.65406	58.7748	23	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.670047	62.5512	24	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.687045	58.8291	25	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.704073	58.7269	26	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.721058	58.8772	27	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.73805	58.85	28	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.754053	62.491	29	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.771066	58.7758	30	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.788068	58.8186	31	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.805061	58.8468	32	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.822068	58.7988	33	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.838063	62.5193	34	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.855051	58.8657	35	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.872079	58.7258	36	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.889065	58.8751	37	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.905055	62.5359	38	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.922065	58.7894	39	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.938067	62.4922	40	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.955054	58.8709	41	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.972067	58.7779	42	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
0.989068	58.8186	43	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.00505	62.5524	44	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.02208	58.7258	45	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.03907	58.8719	46	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.05606	58.85	47	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.07307	58.779	48	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.09009	58.7863	49	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.10709	58.8019	50	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.12312	62.3816	51	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.14009	58.9369	52	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.15708	58.8615	53	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.17309	62.4451	54	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.19009	58.8238	55	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.20709	58.8238	56	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.22313	62.3581	57	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.24009	58.9453	58	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.25708	58.8677	59	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.2741	58.755	60	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.29108	58.8876	61	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.30811	58.7362	62	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.32415	62.3429	63	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.34013	62.5678	64	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.3571	58.9411	65	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.37408	58.8709	66	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.39111	58.7279	67	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.40811	58.8218	68	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.42412	62.4451	69	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.44113	58.8113	70	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.45714	62.4486	71	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.47412	58.8855	72	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
1.49109	58.9243	73	0	1	2	2	1	1	2.81904	0.159778	-1.17191	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
