Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
1.72065e-005	58117.5	1	0	1	3	3	1	2	2.8125	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
2.14322	0.466592	2	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
2.49323	2.85707	3	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
2.81672	3.09127	4	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.13309	3.16088	5	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.45001	3.15532	6	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.7666	3.15864	7	0	1	3	3	1	2	2.80887	-0.18037	-0.234382	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
4.08102	3.18044	8	0	1	3	3	1	2	2.80887	-0.18037	-0.468764	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
4.39754	3.1594	9	0	1	3	3	1	2	2.80887	-0.18037	-0.468764	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
4.71445	3.15549	10	0	1	3	3	1	2	2.80887	-0.18037	-0.468764	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	

