Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	CustomDither	DAngle	swAngle	swNoDead	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	radius	radiusR	radiusL	Dynamic	USRHIT	SCORE	toOBS	
2.44497e-005	40900.4	1	0	(0)1	(0)2	(0)2	(0)1	(0)1	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.521526	1.91754	2	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.570932	20.2404	3	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.588146	58.092	4	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.615279	36.8545	5	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.632165	59.2218	6	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.648174	62.4645	7	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.671591	42.705	8	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.688245	60.0451	9	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.705312	58.5924	10	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.722169	59.3205	11	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.739149	58.8934	12	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.755228	62.1924	13	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.772177	59.0035	14	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.789171	58.8442	15	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.811696	44.3944	16	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.828219	60.5212	17	0	(0)1	(0)2	(0)2	(0)1	(0)1	-0.	93.75	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
