Time	ExpDuration	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	CustomDither	DAngle	swAngle	swNoDead	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	radius	radiusR	radiusL	Dynamic	USRHIT	SCORE	STEERING	TurningRadius	TX	TY	TZ	toOBS	
9.65932e-005	0.	10352.7	1	0	(0)1	(0)17	(0)17	(0)1	(0)7	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.187827	0.	5.32678	2	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.242369	0.	18.3346	3	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.259555	0.	58.1888	4	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.279104	0.	51.152	5	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.29525	0.	61.9342	6	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.312087	0.	59.3926	7	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.329071	0.	58.8807	8	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.346034	0.	58.9529	9	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.370384	0.	41.0668	10	0	(0)1	(0)17	(0)17	(0)1	(0)7	-6.93889e-018	-6.93889e-018	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
