Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	CustomDither	DAngle	swAngle	swNoDead	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	radius	radiusR	radiusL	Dynamic	USRHIT	SCORE	toOBS	
1.5696e-005	63710.4	1	0	(0)1	(0)3	(0)3	(0)1	(0)2	0.	0.	0.	-68.9084	-68.9084	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.616203	1.62288	2	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-60.705	-60.705	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.891835	3.62803	3	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-27.4227	-27.4227	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.908639	59.5103	4	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-24.6101	-24.6101	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.925644	58.8057	5	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-19.9225	-19.9225	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.942663	58.7567	6	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-17.1099	-17.1099	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.959634	58.9239	7	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-12.4223	-12.4223	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
0.99562	27.7889	8	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-6.5627	0.	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
1.02499	34.0442	9	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	-2.34382	0.	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
1.08162	17.6598	10	0	(0)1	(0)3	(0)3	(0)1	(0)2	1.875	1.875	0.	4.944	0.	1.875	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.		
