Time	ExpDuration	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	CustomDither	DAngle	swAngle	swNoDead	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	radius	radiusR	radiusL	Dynamic	USRHIT	SCORE	STEERING	TurningRadius	TX	TY	TZ	toOBS	
9.32709e-005	0.	10721.5	1	0	(0)1	(0)3	(0)3	(0)1	(0)2	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
4.13531e-002	9.32709e-005	24.2366	2	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
9.15755e-002	4.13531e-002	19.9115	3	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.116901	9.15755e-002	39.4857	4	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.140934	0.116901	41.6098	5	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.157606	0.140934	59.9821	6	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.174629	0.157606	58.743	7	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.191638	0.174629	58.791	8	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.208557	0.191638	59.1067	9	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.226874	0.208557	54.594	10	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.243577	0.226874	59.8693	11	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.263648	0.243577	49.8237	12	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.28055	0.263648	59.1637	13	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.297555	0.28055	58.8045	14	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.314619	0.297555	58.6027	15	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.331637	0.314619	58.7618	16	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.348603	0.331637	58.9416	17	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
0.364589	0.348603	62.5541	18	0	(0)1	(0)3	(0)3	(0)1	(0)2	-1.94289e-016	-1.94289e-016	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	-1.	-1.	-1.	1	-1	0.	1-2.	-2.	-2.	-2.		
